season_id,season_name,season_year,season_url,candidate_name,gender_raw,age_raw,profession_raw,final_position_raw,final_exit_order,final_exit_order_normalized,departure_day_raw,departure_description_raw,departure_type_normalized,departure_category,departure_model_category,departure_classification_reason,needs_departure_enrichment,departure_is_definitive,returned_to_game,first_exit_order,second_exit_order,returned_after_medical_replacement,same_day_exit_group,exit_order_ambiguity,exit_order_review_required,analysis_exit_order,analysis_exit_rule,all_cause_exit_event,censored_at_end,source_row_number,scraped_at
KL26,Koh-Lanta : Le Feu Sacré,2023,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,Célia,F,49 ans,Assistante familiale,Éliminée [ 11 ],1,0.0,,Éliminée [ 11 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,1,,False,,False,False,1,STANDARD,1,False,1,2026-07-21T02:53:44.498411+00:00
KL26,Koh-Lanta : Le Feu Sacré,2023,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,Emin,M,56 ans,Directeur général,Éliminé [ 12 ],2,0.052632,,Éliminé [ 12 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,2,,False,,False,False,2,STANDARD,1,False,2,2026-07-21T02:53:44.498411+00:00
KL26,Koh-Lanta : Le Feu Sacré,2023,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,Alexandre,M,34 ans,Responsable logistique,Éliminé [ 13 ],3,0.105263,,Éliminé [ 13 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,3,,False,,False,False,3,STANDARD,1,False,3,2026-07-21T02:53:44.498411+00:00
KL26,Koh-Lanta : Le Feu Sacré,2023,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,Élodie,F,35 ans,Responsable marketing,Éliminée [ 14 ],4,0.157895,,Éliminée [ 14 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,4,,False,,False,False,4,STANDARD,1,False,4,2026-07-21T02:53:44.498411+00:00
KL26,Koh-Lanta : Le Feu Sacré,2023,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,Benjamin,M,23 ans,Marin,Abandon volontaire [ 15 ],5,0.210526,,Abandon volontaire [ 15 ],ABANDON_VOLONTAIRE,SANTE_ABANDON,AUTRE_SORTIE,Abandon volontaire dans la source,False,True,False,5,,False,,False,False,5,STANDARD,1,False,5,2026-07-21T02:53:44.498411+00:00
KL26,Koh-Lanta : Le Feu Sacré,2023,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,Martin,M,30 ans,Fromager,Abandon médical [ 16 ],6,0.263158,,Abandon médical [ 16 ],ABANDON_MEDICAL,SANTE_ABANDON,AUTRE_SORTIE,Abandon médical dans la source,False,True,False,6,,False,,False,False,6,STANDARD,1,False,6,2026-07-21T02:53:44.498411+00:00
KL26,Koh-Lanta : Le Feu Sacré,2023,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,Christine,F,49 ans,Éducatrice canine,Éliminée [ 17 ],7,0.315789,,Éliminée [ 17 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,7,,False,,False,False,7,STANDARD,1,False,7,2026-07-21T02:53:44.498411+00:00
KL26,Koh-Lanta : Le Feu Sacré,2023,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,Rudy,M,41 ans,Conducteur de métro,Éliminé [ 18 ],8,0.368421,,Éliminé [ 18 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,8,,False,,False,False,8,STANDARD,1,False,8,2026-07-21T02:53:44.498411+00:00
KL26,Koh-Lanta : Le Feu Sacré,2023,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,Grâce,F,39 ans,Technicienne en plasturgie,"Abandon volontaire [ 19 ] , [ n 1 ]",9,0.421053,,"Abandon volontaire [ 19 ] , [ n 1 ]",ABANDON_VOLONTAIRE,SANTE_ABANDON,AUTRE_SORTIE,Abandon volontaire dans la source,False,True,False,9,,False,,False,False,9,STANDARD,1,False,9,2026-07-21T02:53:44.498411+00:00
KL26,Koh-Lanta : Le Feu Sacré,2023,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,Anne-Sophie,F,35 ans,Professeure de Zumba,Éliminée [ 20 ],10,0.473684,,Éliminée [ 20 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,10,,False,,False,False,10,STANDARD,1,False,10,2026-07-21T02:53:44.498411+00:00
