season_id,season_name,season_year,season_url,candidate_name,gender_raw,age_raw,profession_raw,final_position_raw,final_exit_order,final_exit_order_normalized,departure_day_raw,departure_description_raw,departure_type_normalized,departure_category,departure_model_category,departure_classification_reason,needs_departure_enrichment,departure_is_definitive,returned_to_game,first_exit_order,second_exit_order,returned_after_medical_replacement,same_day_exit_group,exit_order_ambiguity,exit_order_review_required,analysis_exit_order,analysis_exit_rule,all_cause_exit_event,censored_at_end,source_row_number,scraped_at
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Alexandra Denikine,,,,INDETERMINE,1,0.0,,,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement,True,True,False,1,,False,,False,False,1,STANDARD,1,False,1,2026-07-21T15:05:41.247265
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Candice Cohen,,,,INDETERMINE,2,0.058824,,,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement,True,True,False,2,,False,,False,False,2,STANDARD,1,False,2,2026-07-21T15:05:41.247265
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Michel Jeandel,,,,INDETERMINE,3,0.117647,,,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement,True,True,False,3,,False,,False,False,3,STANDARD,1,False,3,2026-07-21T15:05:41.247265
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Sophie Guilloix,,,,INDETERMINE,4,0.176471,,,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement,True,True,False,4,,False,,False,False,4,STANDARD,1,False,4,2026-07-21T15:05:41.247265
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Julie Bourdon,,,,INDETERMINE,5,0.235294,,,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement,True,True,False,5,,False,,False,False,5,STANDARD,1,False,5,2026-07-21T15:05:41.247265
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Linda Delamarre,,,,INDETERMINE,6,0.294118,,,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement,True,True,False,6,,False,,False,False,6,STANDARD,1,False,6,2026-07-21T15:05:41.247265
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Philippe Huquet,,,,INDETERMINE,7,0.352941,,,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement,True,True,False,7,,False,,False,False,7,STANDARD,1,False,7,2026-07-21T15:05:41.247265
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Alexandre Bérard,,,,INDETERMINE,8,0.411765,,,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement,True,True,False,8,,False,,False,False,8,STANDARD,1,False,8,2026-07-21T15:05:41.247265
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Richard Lecourt,,,,INDETERMINE,9,0.470588,,,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement,True,True,False,9,,False,,False,False,9,STANDARD,1,False,9,2026-07-21T15:05:41.247265
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Sylvie Rivoal,,,,INDETERMINE,10,0.529412,,,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement,True,True,False,10,,False,,False,False,10,STANDARD,1,False,10,2026-07-21T15:05:41.247265
